establishment_name,address,city,state_zip,yelp_id
HILTON EMBASSY ROW HOTEL,2015 MASSACHUSETTS AVE NW,Washington, DC 20008,the-embassy-row-hotel-washington
HEARST ELEMENTARY SCHOOL,3950 37TH ST NW,WASHINGTON, DC 20008,booeymonger-arlington
IL TESORO,4400 CONNECTICUT AVE NW,Washington, DC 20008,tesoro-washington
PIZZA HUT,4205 GEORGIA AVE NW,Washington, DC 20011,pizza-hut-washington-14
ITALIAN PIZZA KITCHEN,2608 CONNECTICUT AVE NW,Washington, DC 20008,italian-pizza-kitchen-washington-2
KENNEDY WARREN CLUB,3131 NW Connecticut AVE NW BLDG,WASHINGTON, DC 20008,kennedy-warren-apartments-washington
LAVANDOU RESTAURANT,3321 CONNECTICUT AVE NW,Washington, DC 20008,lavandou-washington
OCCASIONS CATERING,655 TAYLOR ST NE,Washington, DC 20017,occasions-caterers-washington-2
MARRIOTT WARDMAN PARK HOTEL CAFETERIA,2660 WOODLEY RD NW,Washington, DC 20008,washington-marriott-wardman-park-washington-4
MANE CAFETERIA,3001 CONNECTICUT AVE NW,Washington, DC 20008,smithsonian-national-zoological-park-washington-2
SUBWAY,4441 WISCONSIN AVE NW,Washington, DC 20016,subway-washington-22
Modern Times Coffee,5015 CONNECTICUT AVE NW,Washington, DC 20008,politics-and-prose-washington
MR CHEN'S,2604 CONNECTICUT AVE NW,WASHINGTON, DC 20008,baskin-robbins-washington-6
ELIAS MARKET,5427 GEORGIA AVE NW,Washington, DC 20011,elias-injera-and-market-washington
MEDIUM RARE RESTAURANT(N),3500 CONNECTICUT AVE NW,Washington, DC 20008,alero-restaurant-washington
NAM-VIET PHO 79,3419 CONNECTICUT AVE NW,Washington, DC 20008,nam-viet-pho-79-washington
NOODLES & COMPANY,2635 CONNECTICUT AVE NW,Washington, DC 20008,noodles-and-co-washington
PALENA RESTAURANT(n),3529 CONNECTICUT AVE NW,Washington, DC 20008,sorriso-ristorante-and-pizzeria-washington
PARAGON THAI,3507 CONNECTICUT AVE NW,Washington, DC 20008,paragon-thai-restaurant-washington
Wise Owl Club,2010 18TH ST NW,WASHINGTON, DC 20009,wise-owl-club-washington
PETITS PLATS,2653 CONNECTICUT AVE NW,Washington, DC 20008,petits-plats-washington
PASTA ITALIANA,2623 CONNECTICUT AVE NW,Washington, DC 20008,pasta-italiana-washington
PICA TACO,1406 Florida AVE NW,WASHINGTON, DC 20008,pica-taco-washington
PIZZA BOLI'S,2455 18TH ST NW,Washington, DC 20008,pizza-bolis-washington-7
SCHEELE'S MARKET,1331 29TH ST NW,Washington, DC 20008,scheeles-market-washington
